textbox25,textbox53,textbox24,textbox52,textbox54,textbox28,textbox48,textbox27,textbox49,textbox26,textbox50,textbox1,textbox2
DISPATCH MINERA LOS PELAMBRES,Inicio turno,01-ENE-2026 A,Fin turno,17-FEB-2026 A,Reporte creado el,"martes, 17 de febrero de 2026",Tiempo,9:32:37,Generado por,SANTIAGO\amsmfernandez,Generado en (segundos),93

FullShiftName,Equipo,Metros,Tp__Efectivo,Demora_Prog,Demora_Nprog,Reserva,Mant__Prog,Mant__Nprog,ID_UEBD,ID_Disp__Física,ID_Disp__Mecánica,Textbox40,Textbox41,Textbox42,Textbox43,Textbox44,Textbox45,Textbox46,Textbox47,Textbox48,Textbox49,Textbox28,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33,Textbox34,Textbox35,Textbox36,Textbox37
01-ENE-2026 A,PF03,"8.364,7","0,0","0,0","12,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 A,PF-07,"28.461,2","0,0","0,0","5,4","22,8","0,0","34,3","0,0","45,1","45,1","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 A,PF-21,"17.255,0","0,0","0,0","21,4","233,1","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 A,PF-22,"19.818,2","0,0","0,0","132,8","29,7","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 A,PF-23,"10.894,2","0,0","0,0","736,8","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 A,PF-24,"15.256,5","0,0","0,0","78,2","120,1","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 A,PF-25,"34.764,9","0,0","0,0","662,9","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 A,PF-26,"47.349,9","0,0","0,0","21,6","22,5","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","0,0","1.671,0","428,2","0,0","34,3","0,0","745,1","745,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 B,PF03,"8.364,7","6,1","1,8","3,1","0,0","0,0","1,0","55,3","91,3","91,3","182.164,7","6,1","695,4","557,2","622,0","0,0","943,4","55,3","655,4","655,4","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-ENE-2026 B,PF-07,"28.461,2","0,0","175,2","52,1","0,0","0,0","525,4","0,0","30,2","30,2","182.164,7","6,1","695,4","557,2","622,0","0,0","943,4","55,3","655,4","655,4","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
