Fecha;Fase;Equipo;Turno_A;Turno_B;Total;Plan;Cumplimiento_TA;Cumplimiento_TB;Cumplimiento_Diario;Estado_TA;Estado_TB;Tipo
27-10;F12;ROC;264;202.5;466.5;0;0;0;0;;;Equipo
27-10;F12;PF03;146.8;80;226.8;353.313;83.1;45.3;64.2;;;Equipo
27-10;F12;TOTAL_FASE;410.8;282.5;693.3;353.313;232.5;159.9;196.2;;;Total_Fase
27-10;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
27-10;F09;PF21;175;180;355;319.69520000000006;109.5;112.6;111;;;Equipo
27-10;F09;PF23;138;101;239;338.25;81.6;59.7;70.7;;;Equipo
27-10;F09;PF24;140;0;140;365.01;76.7;0;38.4;;;Equipo
27-10;F09;PF25;0;0;0;0;0;0;0;;;Equipo
27-10;F09;PF26;190;147.3;337.3;295.03296000000006;128.8;99.9;114.3;;;Equipo
27-10;F09;ROC;115.9;34.5;0;0;0;0;0;;;Equipo
27-10;F09;TOTAL_FASE;218;353.3;571.3;0;0;0;0;;;Total_Fase
27-10;F11;TOTAL_FASE;1515.7;1298.6;2655.8999999999996;2339.04756;129.6;111;113.5;;;Total_Fase
27-10;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
28-10;F12;ROC;272;144;416;0;0;0;0;;;Equipo
28-10;F12;PF03;204;367;571;0;0;0;0;;;Equipo
28-10;F12;TOTAL_FASE;476;511;987;0;0;0;0;;;Total_Fase
28-10;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
28-10;F09;PF21;216;100;316;255.75616000000002;168.9;78.2;123.6;;;Equipo
28-10;F09;PF23;231;93;324;98.09249999999997;471;189.6;330.3;;;Equipo
28-10;F09;PF24;100;117;217;101.25059999999999;197.5;231.1;214.3;;;Equipo
28-10;F09;PF25;0;0;0;0;0;0;0;;;Equipo
28-10;F09;PF26;208;124;332;250.84928000000002;165.8;98.9;132.4;;;Equipo
28-10;F09;ROC;92;19.4;111.4;0;0;0;0;;;Equipo
28-10;F09;TOTAL_FASE;454;246;454;702.3856000000001;129.3;70;64.6;;;Total_Fase
28-10;F11;TOTAL_FASE;1991;1386.4;3055.4;1636.252732;243.4;169.5;186.7;;;Total_Fase
28-10;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
29-10;F12;ROC;99;0;99;0;0;0;0;;;Equipo
29-10;F12;PF03;150;150;300;172.73080000000002;173.7;173.7;173.7;;;Equipo
29-10;F12;TOTAL_FASE;249;150;399;172.73080000000002;288.3;173.7;231;;;Total_Fase
29-10;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
29-10;F09;PF21;170;147;317;319.69520000000006;106.4;92;99.2;;;Equipo
29-10;F09;PF23;110;148;258;297.65999999999997;73.9;99.4;86.7;;;Equipo
